date,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,temperature_c,humidity_pct,wind_speed_ms,pressure_hpa
2026-06-08,24.11,23.45,48.18,13.94,20.89,51.94,5.06,1003.88
2026-06-09,21.65,49.15,40.05,18.65,21.2,51.15,3.97,1008.54
2026-06-10,13.6,35.86,53.83,16.76,18.74,51.03,4.85,1007.92
2026-06-11,21.55,33.0,53.24,17.02,23.01,54.43,4.24,1010.52
2026-06-12,17.66,21.38,41.58,13.9,17.86,60.09,2.93,1013.38
2026-06-13,38.12,61.19,37.5,26.09,20.7,44.86,2.62,1009.72
2026-06-14,21.3,27.93,44.56,36.93,20.57,48.61,2.44,1011.92
2026-06-15,13.09,24.8,57.18,21.35,25.4,54.39,4.7,1006.91
2026-06-16,14.49,32.75,58.63,17.61,17.8,60.45,2.05,1006.76
2026-06-17,12.68,22.26,35.75,19.4,22.08,55.24,4.56,1011.62
2026-06-18,12.67,14.91,58.9,10.02,20.77,55.54,3.1,1010.69
2026-06-19,16.3,35.16,55.74,16.03,18.36,62.85,3.79,1014.7
2026-06-20,17.91,28.87,53.99,27.56,22.27,47.31,4.24,1012.61
2026-06-21,29.02,64.43,52.4,27.82,22.53,66.15,0.4,1012.42
2026-06-22,6.8,8,39.23,10.69,25.99,56.56,2.66,1007.8
2026-06-23,19.21,21.92,66.33,12.63,20.79,62.07,3.04,1015.9
2026-06-24,16.23,16.31,51.64,14.74,25.57,63.93,2.82,1014.57
2026-06-25,12.33,18.64,57.86,25.24,23.43,60.81,1.43,1014.36
2026-06-26,12.02,21.98,41.43,22.82,20.08,59.22,4.59,1008.65
2026-06-27,21.64,35.22,48.83,34.71,28.93,49.88,0.83,1015.42
2026-06-28,14.42,19.96,57.97,31.46,24.13,60.73,1.83,1017.23
2026-06-29,12.92,23.39,52.9,18.13,24.68,63.84,1.48,1016.09
2026-06-30,24.57,41.26,62.85,21.79,28.36,66.66,3.32,1016.63
2026-07-01,16.72,18.96,57.13,8.16,25.96,67.67,4.85,1014.83
2026-07-02,22.14,35.42,48.63,10.54,23.47,59.21,3.95,1014.09
2026-07-03,20.29,33.05,65.0,22.9,24.86,65.09,2.2,1010.17
2026-07-04,27.75,53.91,56.36,25.53,30.49,51.22,3.27,1015.78
2026-07-05,20.63,44.14,63.89,26.69,27.38,61.36,2.23,1011.72
2026-07-06,26.22,50.18,62.17,12.13,34.31,77.43,3.28,1013.23
2026-07-07,13.16,24.4,48.09,17.43,31.77,60.29,6.01,1020.91
2026-07-08,11.38,8,52.68,12.44,28.14,55.18,2.66,1021.88
2026-07-09,12.56,17.91,42.54,20.79,28.68,78.02,3.31,1015.6
2026-07-10,23.05,32.83,43.2,19.11,29.26,69.34,3.56,1015.41
2026-07-11,29.28,60.75,44.47,36.69,29.47,60.93,6.64,1017.61
2026-07-12,35.49,63.32,39.27,28.6,29.04,58.17,0.34,1017.64
2026-07-13,24.84,42.87,49.61,13.61,28.07,66.08,1.45,1016.88
2026-07-14,21.7,27.55,49.5,13.8,31.41,71.43,3.27,1019.05
2026-07-15,12.47,16.92,52.85,20.81,27.03,69.69,4.81,1017.22
2026-07-16,22.37,39.4,51.86,20.97,32.42,69.62,1.83,1017.34
2026-07-17,31.02,48.0,47.76,15.14,34.93,64.51,4.37,1015.11
2026-07-18,24.21,40.38,49.35,29.49,36,62.7,3.66,1015.24
2026-07-19,38.67,66.93,51.79,28.94,30.92,62.97,3.75,1017.94
2026-07-20,25.91,30.58,48.12,14.14,30.35,67.54,0.22,1020.09
2026-07-21,30.82,48.88,37.89,12.87,33.46,55.97,3.27,1019.97
2026-07-22,24.36,35.02,46.46,19.35,36,67.92,1.97,1016.54
2026-07-23,27.85,57.01,41.6,12.34,31.88,57.05,3.49,1013.77
2026-07-24,19.85,15.95,34.39,20.44,30.82,58.46,3.27,1016.73
2026-07-25,36.83,64.85,42.44,21.51,34.63,65.45,2.13,1013.32
2026-07-26,41.32,62.79,38.42,28.08,36,63.88,2.5,1019.54
