date,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,temperature_c,humidity_pct,wind_speed_ms,pressure_hpa,hrv_sdnn_ms,hrv_rmssd_ms,resting_hr_bpm,sleep_quality,stress_level,bp_systolic_mmhg,bp_diastolic_mmhg,steps,weight_kg
2026-05-18,38.07,65.79,35.47,28.36,23.1,54.28,3.17,1015.74,52.16,39.0,71.95,61,56,128.66,77.85,6820,70.49
2026-05-19,30.84,53.5,42.92,15.04,17.07,56.84,3.34,1009.14,47.82,29.37,64.14,61,66,120.93,78.04,7734,69.79
2026-05-20,35.03,60.91,25.63,20.19,21.54,47.54,3.68,1010.52,46.12,30.28,63.48,56,46,118.61,77.57,8074,69.74
2026-05-21,24.97,44.14,37.78,14.71,23.21,59.67,1.93,1011.49,51.71,38.64,65.31,61,63,124.84,79.73,5220,69.92
2026-05-22,29.07,64.64,19.32,21.08,20.96,53.77,5.85,1010.04,38.58,27.66,66.93,61,56,120.22,79.85,6769,70.04
2026-05-23,48.59,74.21,37.41,25.55,19.68,50.38,2.58,1010.39,47.92,37.55,66.35,71,47,122.84,73.82,9153,70.01
2026-05-24,22.07,51.33,33.72,36.71,18.6,51.27,7.75,1006.92,42.96,36.18,67.77,67,33,121.31,76.2,4743,70.44
2026-05-25,18.77,25.66,39.32,21.07,25.36,52.2,0.6,1007.98,38.61,30.66,68.56,75,53,117.22,76.42,9197,70.24
2026-05-26,34.7,59.25,20.43,17.42,25.56,63.92,3.84,1009.99,50.46,31.97,67.57,65,64,131.45,78.52,10746,70.65
2026-05-27,19.31,24.15,37.04,20.12,22.99,50.75,1.27,1006.52,57.23,45.09,68.52,62,43,124.83,77.0,9057,69.97
2026-05-28,19.29,36.01,18.79,15.93,22.48,60.63,3.11,1011.67,48.69,37.22,62.72,65,51,122.16,76.54,10279,70.71
2026-05-29,23.31,31.34,32.55,25.24,24.01,55.38,8.0,1008.41,46.35,38.47,69.54,51,48,121.07,79.65,9382,70.3
2026-05-30,35.39,59.08,36.87,39.58,25.44,42.01,2.4,1009.65,50.92,35.49,66.31,57,45,124.04,78.92,5409,70.43
2026-05-31,35.81,46.51,21.32,18.47,20.62,48.49,3.52,1005.94,53.26,44.58,68.31,65,48,125.11,77.44,8434,70.68
2026-06-01,16.71,10.55,42.75,19.45,23.73,56.9,2.71,1012.2,60.3,45.33,67.17,67,51,124.38,77.66,8809,70.7
2026-06-02,22.68,31.0,36.73,14.68,14.18,53.8,3.37,1006.99,45.79,34.54,64.55,64,54,120.3,75.88,9053,69.83
2026-06-03,18.66,32.83,55.43,17.79,19.1,50.18,2.9,1004.23,50.91,34.64,66.79,71,55,121.31,78.97,6152,69.85
2026-06-04,21.64,35.11,57.26,22.32,23.68,49.73,4.0,1004.58,49.69,38.3,66.33,60,55,121.94,76.16,9594,70.12
2026-06-05,23.71,41.29,37.2,27.6,22.25,43.97,3.83,1006.78,57.83,45.37,68.23,68,48,119.69,75.17,13418,69.87
2026-06-06,27.8,48.21,47.29,17.8,17.06,53.67,4.95,1013.74,45.46,33.01,62.91,61,33,117.21,74.96,6309,69.99
2026-06-07,38.08,44.48,51.16,18.42,25.38,51.34,1.29,1014.11,43.01,32.91,66.99,66,46,125.4,76.1,7485,70.08
2026-06-08,24.11,23.45,48.18,13.94,20.89,51.94,5.06,1003.88,52.35,40.25,64.85,67,52,126.49,80.16,9823,69.85
2026-06-09,21.65,49.15,40.05,18.65,21.2,51.15,3.97,1008.54,45.5,32.13,64.6,69,47,125.46,77.99,6080,70.07
2026-06-10,13.6,35.86,53.83,16.76,18.74,51.03,4.85,1007.92,37.32,25.73,61.81,65,49,119.39,76.49,11353,70.58
2026-06-11,21.55,33.0,53.24,17.02,23.01,54.43,4.24,1010.52,44.81,37.37,61.36,61,63,117.01,79.76,7219,70.18
2026-06-12,17.66,21.38,41.58,13.9,17.86,60.09,2.93,1013.38,47.13,40.44,60.91,65,55,120.42,76.46,9011,70.25
2026-06-13,38.12,61.19,37.5,26.09,20.7,44.86,2.62,1009.72,53.18,37.06,65.05,66,46,122.76,78.72,5456,69.99
2026-06-14,21.3,27.93,44.56,36.93,20.57,48.61,2.44,1011.92,53.0,36.46,68.49,68,35,121.57,77.81,7643,70.58
2026-06-15,13.09,24.8,57.18,21.35,25.4,54.39,4.7,1006.91,48.05,33.91,64.93,61,47,123.19,77.59,8362,70.02
2026-06-16,14.49,32.75,58.63,17.61,17.8,60.45,2.05,1006.76,50.16,36.12,59.94,65,51,117.26,79.42,10369,70.26
2026-06-17,12.68,22.26,35.75,19.4,22.08,55.24,4.56,1011.62,53.17,41.46,64.96,72,59,122.51,78.9,10410,70.15
2026-06-18,12.67,14.91,58.9,10.02,20.77,55.54,3.1,1010.69,45.92,37.16,59.69,77,57,122.25,78.03,11727,69.97
2026-06-19,16.3,35.16,55.74,16.03,18.36,62.85,3.79,1014.7,42.56,30.13,62.7,60,53,121.45,76.34,11504,69.84
2026-06-20,17.91,28.87,53.99,27.56,22.27,47.31,4.24,1012.61,45.98,35.61,64.95,69,39,118.1,76.17,5474,70.42
2026-06-21,29.02,64.43,52.4,27.82,22.53,66.15,0.4,1012.42,46.21,36.94,68.35,67,51,125.72,80.04,5724,70.19
2026-06-22,6.8,8,39.23,10.69,25.99,56.56,2.66,1007.8,40.98,31.61,64.52,68,51,118.14,75.37,8575,70.12
2026-06-23,19.21,21.92,66.33,12.63,20.79,62.07,3.04,1015.9,50.78,34.62,65.07,57,41,123.26,75.02,8260,69.85
2026-06-24,16.23,16.31,51.64,14.74,25.57,63.93,2.82,1014.57,41.27,29.76,65.85,68,55,122.52,79.53,10774,70.41
2026-06-25,12.33,18.64,57.86,25.24,23.43,60.81,1.43,1014.36,48.89,39.72,71.01,69,62,125.64,79.81,7464,69.96
2026-06-26,12.02,21.98,41.43,22.82,20.08,59.22,4.59,1008.65,50.49,32.86,62.22,72,46,122.12,74.74,8359,70.6
2026-06-27,21.64,35.22,48.83,34.71,28.93,49.88,0.83,1015.42,47.26,36.32,74.31,69,38,127.45,76.38,6473,70.3
2026-06-28,14.42,19.96,57.97,31.46,24.13,60.73,1.83,1017.23,55.43,38.18,67.57,68,46,121.41,79.61,5432,70.65
2026-06-29,12.92,23.39,52.9,18.13,24.68,63.84,1.48,1016.09,51.3,34.27,67.6,65,49,120.04,77.14,6936,70.82
2026-06-30,24.57,41.26,62.85,21.79,28.36,66.66,3.32,1016.63,38.92,27.21,72.58,63,60,129.95,78.02,7530,70.57
2026-07-01,16.72,18.96,57.13,8.16,25.96,67.67,4.85,1014.83,51.54,37.67,63.52,69,56,119.47,79.66,6938,70.18
2026-07-02,22.14,35.42,48.63,10.54,23.47,59.21,3.95,1014.09,43.97,31.06,64.01,61,58,124.4,79.69,10738,70.21
2026-07-03,20.29,33.05,65.0,22.9,24.86,65.09,2.2,1010.17,48.56,38.03,72.17,67,63,127.21,80.66,6422,70.59
2026-07-04,27.75,53.91,56.36,25.53,30.49,51.22,3.27,1015.78,44.99,33.91,68.88,58,48,127.92,75.33,6827,70.17
2026-07-05,20.63,44.14,63.89,26.69,27.38,61.36,2.23,1011.72,41.71,32.46,67.35,59,39,123.92,77.61,4862,70.09
2026-07-06,26.22,50.18,62.17,12.13,34.31,77.43,3.28,1013.23,37.56,29.39,69.1,57,51,134.82,76.49,7914,70.4
2026-07-07,13.16,24.4,48.09,17.43,31.77,60.29,6.01,1020.91,39.67,32.24,75.34,60,52,123.07,77.75,11247,70.62
2026-07-08,11.38,8,52.68,12.44,28.14,55.18,2.66,1021.88,43.34,37.14,71.47,67,47,123.15,75.86,9801,70.26
2026-07-09,12.56,17.91,42.54,20.79,28.68,78.02,3.31,1015.6,33.8,28.13,68.92,66,49,123.99,79.84,9681,70.45
2026-07-10,23.05,32.83,43.2,19.11,29.26,69.34,3.56,1015.41,59.87,44.4,69.98,68,48,121.46,75.24,9900,70.55
2026-07-11,29.28,60.75,44.47,36.69,29.47,60.93,6.64,1017.61,47.25,31.38,73.09,65,44,125.04,79.6,7050,70.56
2026-07-12,35.49,63.32,39.27,28.6,29.04,58.17,0.34,1017.64,37.8,27.83,66.72,62,49,125.55,79.36,4165,70.63
2026-07-13,24.84,42.87,49.61,13.61,28.07,66.08,1.45,1016.88,42.47,32.24,72.37,56,62,125.84,78.78,9934,70.01
2026-07-14,21.7,27.55,49.5,13.8,31.41,71.43,3.27,1019.05,45.04,33.96,73.55,57,51,126.44,78.03,7339,70.33
2026-07-15,12.47,16.92,52.85,20.81,27.03,69.69,4.81,1017.22,53.47,39.82,64.9,66,40,115.82,77.23,9371,70.46
2026-07-16,22.37,39.4,51.86,20.97,32.42,69.62,1.83,1017.34,36.88,27.21,66.8,59,44,124.68,78.43,6465,70.24
2026-07-17,31.02,48.0,47.76,15.14,34.93,64.51,4.37,1015.11,42.49,36.51,68.43,57,49,123.07,81.71,10102,70.16
2026-07-18,24.21,40.38,49.35,29.49,36,62.7,3.66,1015.24,39.99,31.92,73.48,68,47,117.67,77.54,5395,70.34
2026-07-19,38.67,66.93,51.79,28.94,30.92,62.97,3.75,1017.94,40.83,28.67,68.3,63,52,124.92,80.39,7512,70.79
2026-07-20,25.91,30.58,48.12,14.14,30.35,67.54,0.22,1020.09,37.4,30.39,68.42,64,53,118.79,78.52,6423,70.35
2026-07-21,30.82,48.88,37.89,12.87,33.46,55.97,3.27,1019.97,40.32,29.04,67.73,52,50,126.01,81.13,10163,70.28
2026-07-22,24.36,35.02,46.46,19.35,36,67.92,1.97,1016.54,44.72,29.44,75.0,55,55,129.21,77.09,10301,70.42
2026-07-23,27.85,57.01,41.6,12.34,31.88,57.05,3.49,1013.77,54.27,39.79,74.98,62,47,129.86,76.19,5752,70.69
2026-07-24,19.85,15.95,34.39,20.44,30.82,58.46,3.27,1016.73,49.47,37.26,69.21,69,56,123.35,79.7,7235,70.27
2026-07-25,36.83,64.85,42.44,21.51,34.63,65.45,2.13,1013.32,32.57,17.83,69.73,61,40,125.28,76.15,7798,70.44
2026-07-26,41.32,62.79,38.42,28.08,36,63.88,2.5,1019.54,38.67,28.69,70.79,48,53,128.62,80.75,2000,70.78
